iParam,fParam,t,sInput,vfInput,viOutput,bOutput
0,0.300000,0,string,3.200000 3.400000 5.400000,1 4 -3,0
,,0.1,string,3.200000 3.400000 5.400000,9 8 -10,0
,,0.2,string,3.200000 3.400000 5.400000,9 8 -10,0
,,0.3,string,3.200000 3.400000 5.400000,9 8 -10,0
,,0.4,string,3.200000 3.400000 5.400000,9 8 -10,0
,,0.5,string,3.200000 3.400000 5.400000,9 8 -10,0
,,0.6,string,3.200000 3.400000 5.400000,9 8 -10,0
,,0.7,string,3.200000 3.400000 5.400000,9 8 -10,0
,,0.8,string,3.200000 3.400000 5.400000,9 8 -10,0
,,0.9,string,3.200000 3.400000 5.400000,9 8 -10,0
,,1,hello,3.200000 3.400000 5.400000,9 8 -10,0
,,1.1,hello,3.200000 3.400000 5.400000,9 8 -10,0
,,1.2,hello,3.200000 3.400000 5.400000,9 8 -10,0
,,1.3,hello,3.200000 3.400000 5.400000,9 8 -10,0
,,1.4,hello,3.200000 3.400000 5.400000,9 8 -10,0
,,1.5,hello,3.200000 3.400000 5.400000,9 8 -10,0
,,1.6,hello,3.200000 3.400000 5.400000,9 8 -10,0
,,1.7,hello,3.200000 3.400000 5.400000,9 8 -10,0
,,1.8,hello,3.200000 3.400000 5.400000,9 8 -10,0
,,1.9,hello,3.200000 3.400000 5.400000,9 8 -10,0
,,2,hello,7.600000 -90.300003 8.700000,9 8 -10,0
,,2.1,hello,7.600000 -90.300003 8.700000,9 8 -10,0
,,2.2,hello,7.600000 -90.300003 8.700000,9 8 -10,0
,,2.3,hello,7.600000 -90.300003 8.700000,9 8 -10,0
,,2.4,hello,7.600000 -90.300003 8.700000,9 8 -10,0
,,2.5,hello,7.600000 -90.300003 8.700000,9 8 -10,0
,,2.6,hello,7.600000 -90.300003 8.700000,9 8 -10,0
,,2.7,hello,7.600000 -90.300003 8.700000,9 8 -10,0
,,2.8,hello,7.600000 -90.300003 8.700000,9 8 -10,0
,,2.9,hello,7.600000 -90.300003 8.700000,9 8 -10,0
,,3,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,3.1,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,3.2,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,3.3,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,3.4,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,3.5,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,3.6,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,3.7,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,3.8,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,3.9,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,4,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,4.1,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,4.2,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,4.3,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,4.4,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,4.5,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,4.6,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,4.7,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,4.8,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,4.9,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,5,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,5.1,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,5.2,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,5.3,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,5.4,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,5.5,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,5.6,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,5.7,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,5.8,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,5.9,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,6,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,6.1,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,6.2,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,6.3,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,6.4,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,6.5,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,6.6,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,6.7,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,6.8,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,6.9,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,7,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,7.1,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,7.2,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,7.3,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,7.4,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,7.5,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,7.6,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,7.7,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,7.8,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,7.9,hello,7.600000 -90.300003 8.700000,9 8 -10,1
,,8,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,8.1,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,8.2,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,8.3,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,8.4,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,8.5,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,8.6,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,8.7,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,8.8,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,8.9,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,9,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,9.1,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,9.2,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,9.3,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,9.4,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,9.5,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,9.6,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,9.7,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,9.8,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,9.9,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
,,10,goodbye,7.600000 -90.300003 8.700000,9 8 -10,1
