m,l,theta0,thetaDot0,t,theta
1.000000,1.000000,0.523599,0.000000,0,0.523599
,,,,0.1,0.474549
,,,,0.2,0.387891
,,,,0.3,0.286657
,,,,0.4,0.188430
,,,,0.5,0.100773
,,,,0.6,0.026298
,,,,0.7,-0.034117
,,,,0.8,-0.080235
,,,,0.9,-0.112111
,,,,1,-0.129963
,,,,1.1,-0.134146
,,,,1.2,-0.125155
,,,,1.3,-0.104162
,,,,1.4,-0.074291
,,,,1.5,-0.039815
,,,,1.6,-0.005001
,,,,1.7,0.026668
,,,,1.8,0.052713
,,,,1.9,0.071553
,,,,2,0.082316
,,,,2.1,0.084665
,,,,2.2,0.078701
,,,,2.3,0.065132
,,,,2.4,0.045730
,,,,2.5,0.022973
,,,,2.6,-0.000484
,,,,2.7,-0.022243
,,,,2.8,-0.040399
,,,,2.9,-0.053605
,,,,3,-0.061031
,,,,3.1,-0.062308
,,,,3.2,-0.057472
,,,,3.3,-0.047072
,,,,3.4,-0.032379
,,,,3.5,-0.015159
,,,,3.6,0.002659
,,,,3.7,0.019264
,,,,3.8,0.033152
,,,,3.9,0.043209
,,,,4,0.048726
,,,,4.1,0.049373
,,,,4.2,0.045178
,,,,4.3,0.036604
,,,,4.4,0.024662
,,,,4.5,0.010728
,,,,4.6,-0.003676
,,,,4.7,-0.017097
,,,,4.8,-0.028300
,,,,4.9,-0.036351
,,,,5,-0.040642
,,,,5.1,-0.040892
,,,,5.2,-0.037132
,,,,5.3,-0.029772
,,,,5.4,-0.019654
,,,,5.5,-0.007916
,,,,5.6,0.004186
,,,,5.7,0.015438
,,,,5.8,0.024795
,,,,5.9,0.031458
,,,,6,0.034902
,,,,6.1,0.034887
,,,,6.2,0.031450
,,,,6.3,0.024965
,,,,6.4,0.016156
,,,,6.5,0.005996
,,,,6.6,-0.004443
,,,,6.7,-0.014119
,,,,6.8,-0.022130
,,,,6.9,-0.027777
,,,,7,-0.030603
,,,,7.1,-0.030404
,,,,7.2,-0.027223
,,,,7.3,-0.021403
,,,,7.4,-0.013584
,,,,7.5,-0.004616
,,,,7.6,0.004563
,,,,7.7,0.013042
,,,,7.8,0.020026
,,,,7.9,0.024899
,,,,8,0.027259
,,,,8.1,0.026928
,,,,8.2,0.023956
,,,,8.3,0.018661
,,,,8.4,0.011619
,,,,8.5,0.003586
,,,,8.6,-0.004605
,,,,8.7,-0.012143
,,,,8.8,-0.018319
,,,,8.9,-0.022584
,,,,9,-0.024579
,,,,9.1,-0.024151
,,,,9.2,-0.021355
,,,,9.3,-0.016487
,,,,9.4,-0.010073
,,,,9.5,-0.002795
,,,,9.6,0.004599
,,,,9.7,0.011378
,,,,9.8,0.016902
,,,,9.9,0.020677
,,,,10,0.022381
